"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1912568,-0.100003555556,0.797538518519
0.1,0.1849456,-0.0634931111111,0.866773703704
0.15,0.1827504,-0.0146346666667,0.906409259259
0.2,0.1835736,0.0330804444444,0.837639876543
0.25,0.186592,0.0730208888889,0.677827283951
0.3,0.1912568,0.102747555556,0.452590617284
0.35,0.1972936,0.120126222222,0.166587901235
0.4,0.2036048,0.125309333333,-0.230106419753
0.45,0.211288,0.0993937777778,-0.653563209877
0.5,0.2145808,0.050764,-0.891207160494
0.55,0.2162272,0.001372,-0.933468148148
0.6,0.2145808,-0.0464955555556,-0.852249135802
0.65,0.211288,-0.086436,-0.669315802469
0.7,0.2060744,-0.122108,-0.309462222222
0.75,0.197568,-0.125766666667,0.18606691358
0.8,0.1915312,-0.0920764444444,0.476304197531
0.85,0.1890616,-0.0649413333333,0.528304691358
0.9,0.1857688,-0.0463431111111,0.665081234568
0.95,0.1830248,-0.00381111111111,0.862073333333
1,0.1846712,0.0513737777778,0.840307654321
1.05,0.1890616,0.0908568888889,0.595719012346
1.1,0.1945496,0.112808888889,0.267794074074
1.15,0.2008608,0.118144444444,-0.0918054320988
1.2,0.2068976,0.107168444444,-0.489685432099
1.25,0.2132088,0.0652462222222,-0.791101975309
1.3,0.2137576,0.01372,-0.820743950617
1.35,0.2132088,-0.0172262222222,-0.786359259259
1.4,0.2132088,-0.0640266666667,-0.718098024691
1.45,0.2066232,-0.103357333333,-0.400674814815
1.5,0.2005864,-0.102747555556,-0.08918
1.55,0.1967448,-0.102747555556,0.0885871604938
1.6,0.190708,-0.102442666667,0.402199259259
1.65,0.1846712,-0.0679902222222,0.790847901235
1.7,0.1830248,-0.0134151111111,0.985299259259
1.75,0.1835736,0.039788,0.958113333333
1.8,0.1868664,0.091924,0.702768888889
1.85,0.1940008,0.117687111111,0.278973333333
1.9,0.1997632,0.117077333333,-0.105864197531
1.95,0.2060744,0.104424444444,-0.427521975309
2,0.211288,0.0684475555556,-0.619178518519
2.05,0.2123856,0.0390257777778,-0.716742962963
2.1,0.2159528,-0.00396355555556,-0.776789135802
2.15,0.2118368,-0.0451235555556,-0.699974074074
2.2,0.2107392,-0.072716,-0.608338024691
2.25,0.2055256,-0.112961333333,-0.366459506173
2.3,0.197568,-0.116772444444,0.0269318518519
2.35,0.193452,-0.107016,0.372726666667
2.4,0.1863176,-0.0814053333333,0.722247901235
2.45,0.1835736,-0.0240862222222,0.853096049383
2.5,0.18522,0.0132626666667,0.792287654321
2.55,0.1849456,0.0506115555556,0.754430617284
2.6,0.1896104,0.0939057777778,0.590976296296
2.65,0.1950984,0.120888444444,0.22468617284
2.7,0.2033304,0.115857777778,-0.157695308642
2.75,0.2068976,0.0993937777778,-0.44674691358
2.8,0.2134832,0.0737831111111,-0.750873580247
2.85,0.2156784,0.02058,-0.94668
2.9,0.215404,-0.0306413333333,-0.929148888889
2.95,0.21266,-0.0818626666667,-0.701583209877
3,0.2058,-0.104576888889,-0.364342222222
3.05,0.2019584,-0.116010222222,-0.0533555555556
3.1,0.1937264,-0.113876,0.308445925926
3.15,0.1887872,-0.078204,0.541262469136
3.2,0.1868664,-0.0539653333333,0.666859753086
3.25,0.1830248,-0.0187506666667,0.870288395062
3.3,0.1835736,0.0387208888889,0.930165185185
3.35,0.1871408,0.0914666666667,0.661270123457
3.4,0.1945496,0.109455111111,0.265761481481
3.45,0.1983912,0.113876,-0.0701244444444
3.5,0.2066232,0.101832888889,-0.371795061728
3.55,0.2096416,0.0686,-0.523392592593
3.6,0.2123856,0.0496968888889,-0.667791358025
3.65,0.2156784,0.00899422222222,-0.898744691358
3.7,0.2143064,-0.0487822222222,-0.938464938272
3.75,0.2104648,-0.0998511111111,-0.674143209877
3.8,0.203056,-0.124242222222,-0.225363703704
3.85,0.1967448,-0.119211555556,0.185558765432
3.9,0.190708,-0.100003555556,0.482656049383
3.95,0.1863176,-0.0687524444444,0.707257530864
4,0.1832992,-0.0262204444444,0.848776790123
4.05,0.1835736,0.0207324444444,0.876301481481
4.1,0.1854944,0.0649413333333,0.793981481481
4.15,0.1898848,0.108388,0.528812839506
4.2,0.197568,0.125461777778,0.109082469136
4.25,0.2036048,0.116467555556,-0.270504197531
4.3,0.2096416,0.0937533333333,-0.557184444444
4.35,0.2134832,0.0579288888889,-0.764254814815
4.4,0.2156784,0.0147871111111,-0.883330864198
4.45,0.215404,-0.035672,-0.862920246914
4.5,0.2121112,-0.0830822222222,-0.612911358025
4.55,0.2055256,-0.100613333333,-0.281852839506
4.6,0.2014096,-0.103052444444,-0.0741049382716
4.65,0.1956472,-0.107320888889,0.127037037037
4.7,0.1901592,-0.0978693333333,0.44759382716
4.75,0.1846712,-0.0643315555556,0.785342962963
4.8,0.1827504,-0.00990888888889,0.933891604938
4.85,0.1841224,0.0387208888889,0.863343703704
4.9,0.1868664,0.0807955555556,0.661439506173
4.95,0.1926288,0.110217333333,0.335970617284
5,0.19894,0.116162666667,-0.0260002469136
5.05,0.2049768,0.104576888889,-0.332159506173
5.1,0.209916,0.0789662222222,-0.557099753086
5.15,0.2129344,0.0481724444444,-0.742743209877
5.2,0.215404,0.00381111111111,-0.876894320988
